48   2018-06-18   01:08:12.4294958   纬度=31.52803   经度=102.3164   强度=-9.65861   陡度=-2.575629   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
49   2018-06-18   01:08:31.1214075   纬度=31.54938   经度=102.2944   强度=-27.05011   陡度=-5.584539   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
50   2018-06-18   01:09:07.5818335   纬度=29.11815   经度=102.5028   强度=-26.36915   陡度=-3.709067   误差=0   定位方式:2   省:四川省   市:雅安地区   县:汉源县
51   2018-06-18   01:10:11.2450061   纬度=31.57347   经度=102.3614   强度=-20.29703   陡度=-3.659182   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
52   2018-06-18   01:10:11.3133012   纬度=31.57517   经度=102.3636   强度=-23.572   陡度=-4.789232   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
53   2018-06-18   01:11:46.5001341   纬度=28.92697   经度=102.3806   强度=-25.25139   陡度=-2.911872   误差=0   定位方式:5   省:四川省   市:雅安地区   县:石棉县
54   2018-06-18   01:14:50.1334261   纬度=28.93429   经度=102.3851   强度=-42.31665   陡度=-4.751344   误差=166.8971   定位方式:6   省:四川省   市:雅安地区   县:石棉县
55   2018-06-18   01:17:02.4311403   纬度=23.16803   经度=105.6491   强度=-39.16253   陡度=-7.712007   误差=51.14582   定位方式:6   省:广西壮族自治区   市:百色市   县:那坡县
56   2018-06-18   01:18:17.1987940   纬度=28.93339   经度=102.4123   强度=-85.87518   陡度=-7.633349   误差=0   定位方式:6   省:四川省   市:雅安地区   县:石棉县
57   2018-06-18   01:18:17.2108196   纬度=28.71092   经度=102.5362   强度=-38.9514   陡度=-4.936416   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:越西县
58   2018-06-18   01:19:11.489731   纬度=28.72405   经度=102.5558   强度=-39.35463   陡度=-4.93862   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:越西县
59   2018-06-18   01:21:04.2967338   纬度=31.50665   经度=102.2795   强度=-18.40042   陡度=-4.060782   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
60   2018-06-18   01:21:50.6764298   纬度=31.51123   经度=102.2821   强度=-19.39798   陡度=-4.070395   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
61   2018-06-18   01:22:08.6659355   纬度=29.14007   经度=102.6352   强度=-40.80085   陡度=-4.926895   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:甘洛县
62   2018-06-18   01:22:08.7298743   纬度=28.88873   经度=102.3566   强度=-50.88772   陡度=-8.684837   误差=73.94315   定位方式:6   省:四川省   市:雅安地区   县:石棉县
63   2018-06-18   01:29:30.6448819   纬度=31.50755   经度=102.2959   强度=-15.70179   陡度=-2.576704   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
64   2018-06-18   01:30:39.7890651   纬度=24.21889   经度=100.9216   强度=-34.53279   陡度=-7.366994   误差=75.29346   定位方式:6   省:云南省   市:思茅地区   县:景东彝族自治县
65   2018-06-18   01:30:39.8498194   纬度=24.22109   经度=100.9159   强度=-33.45514   陡度=-8.564516   误差=0   定位方式:5   省:云南省   市:思茅地区   县:景东彝族自治县
66   2018-06-18   01:37:29.2130367   纬度=30.85169   经度=103.3561   强度=-136.3585   陡度=-15.17729   误差=0   定位方式:6   省:四川省   市:成都市   县:崇州市
67   2018-06-18   01:44:48.3456789   纬度=28.955   经度=102.4077   强度=-23.99797   陡度=-2.47721   误差=0   定位方式:5   省:四川省   市:雅安地区   县:石棉县
68   2018-06-18   01:50:29.4697553   纬度=28.92198   经度=102.4196   强度=-56.68582   陡度=-6.097298   误差=73.93283   定位方式:6   省:四川省   市:雅安地区   县:石棉县
69   2018-06-18   01:53:00.6199929   纬度=28.93996   经度=102.4499   强度=-21.96128   陡度=-2.082255   误差=0   定位方式:5   省:四川省   市:雅安地区   县:石棉县
70   2018-06-18   01:53:37.4795390   纬度=20.5076   经度=121.3334   强度=-63.4862   陡度=-35.33145   误差=52.10676   定位方式:6   省:   市:   县:
71   2018-06-18   01:54:31.85322   纬度=28.92837   经度=102.4754   强度=-85.10667   陡度=-7.461407   误差=156.3076   定位方式:6   省:四川省   市:雅安地区   县:石棉县
72   2018-06-18   01:54:33.387144   纬度=28.91896   经度=102.4735   强度=-93.81312   陡度=-6.597846   误差=73.93356   定位方式:6   省:四川省   市:雅安地区   县:石棉县
73   2018-06-18   01:57:53.7128657   纬度=31.38559   经度=102.0425   强度=-45.37588   陡度=-6.382542   误差=47.49232   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:金川县
74   2018-06-18   01:57:53.7925654   纬度=31.38576   经度=102.0382   强度=-57.66003   陡度=-8.200538   误差=47.49223   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:金川县
75   2018-06-18   02:02:40.8640533   纬度=28.94685   经度=102.5224   强度=-64.46077   陡度=-4.297385   误差=73.92496   定位方式:6   省:四川省   市:凉山彝族自治州   县:甘洛县
76   2018-06-18   02:31:53.2721521   纬度=18.73992   经度=102.8744   强度=-101.8667   陡度=-19.1749   误差=0   定位方式:5   省:   市:   县:
77   2018-06-18   02:31:57.9880384   纬度=32.0749   经度=101.6983   强度=-90.16438   陡度=-14.2482   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:马尔康县
78   2018-06-18   02:33:30.3419538   纬度=30.9777   经度=105.7168   强度=-21.82185   陡度=-10.34517   误差=0   定位方式:2   省:四川省   市:南充市   县:西充县
79   2018-06-18   02:33:30.6311446   纬度=30.96452   经度=105.7456   强度=-22.1636   陡度=-9.782554   误差=0   定位方式:2   省:四川省   市:南充市   县:西充县
80   2018-06-18   02:40:14.3781102   纬度=30.83193   经度=106.2486   强度=-16.61319   陡度=-9.245599   误差=0   定位方式:2   省:四川省   市:南充市   县:南充市市辖区
81   2018-06-18   02:40:14.5568674   纬度=30.82576   经度=106.2627   强度=-44.93101   陡度=-12.50254   误差=73.32961   定位方式:6   省:四川省   市:南充市   县:南充市市辖区
82   2018-06-18   02:40:14.6492304   纬度=30.8245   经度=106.2698   强度=-48.235   陡度=-11.87323   误差=73.33015   定位方式:6   省:四川省   市:南充市   县:南充市市辖区
83   2018-06-18   02:40:14.8988473   纬度=30.82536   经度=106.261   强度=-23.80846   陡度=-10.88387   误差=0   定位方式:2   省:四川省   市:南充市   县:南充市市辖区
84   2018-06-18   02:41:04.9763277   纬度=31.03041   经度=105.7313   强度=-42.75572   陡度=-13.03032   误差=73.26324   定位方式:6   省:四川省   市:南充市   县:西充县
85   2018-06-18   02:42:02.1141800   纬度=30.60799   经度=105.9778   强度=96.50701   陡度=18.43716   误差=0   定位方式:6   省:四川省   市:南充市   县:南充市市辖区
86   2018-06-18   02:43:02.5463566   纬度=30.13393   经度=105.2878   强度=166.1895   陡度=27.98981   误差=73.55213   定位方式:6   省:四川省   市:资阳市   县:安岳县
87   2018-06-18   02:43:02.5653197   纬度=30.58569   经度=105.9074   强度=34.26799   陡度=8.276044   误差=0   定位方式:5   省:四川省   市:南充市   县:南充市市辖区
88   2018-06-18   02:43:57.1180203   纬度=18.3687   经度=102.9432   强度=-105.9816   陡度=-18.33195   误差=76.69807   定位方式:6   省:   市:   县:
89   2018-06-18   02:44:54.1856304   纬度=30.58345   经度=105.9285   强度=178.2085   陡度=18.10372   误差=73.40783   定位方式:6   省:四川省   市:南充市   县:南充市市辖区
90   2018-06-18   02:47:36.6390845   纬度=30.60567   经度=105.9441   强度=42.71432   陡度=6.432274   误差=0   定位方式:2   省:四川省   市:南充市   县:南充市市辖区
91   2018-06-18   02:47:38.6825821   纬度=31.0574   经度=105.7636   强度=-63.09454   陡度=-18.78163   误差=73.25437   定位方式:6   省:四川省   市:南充市   县:西充县
92   2018-06-18   02:47:38.7348283   纬度=31.0292   经度=105.7791   强度=-20.36556   陡度=-8.988938   误差=0   定位方式:5   省:四川省   市:南充市   县:西充县
93   2018-06-18   02:47:40.6529906   纬度=44.34122   经度=118.5038   强度=-45.04972   陡度=-15.17464   误差=0   定位方式:6   省:内蒙古自治区   市:赤峰市   县:巴林右旗
94   2018-06-18   02:49:04.5120721   纬度=31.37902   经度=103.2467   强度=-30.14814   陡度=-3.573112   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:理县
95   2018-06-18   02:49:04.5504148   纬度=31.35232   经度=103.2289   强度=-29.66388   陡度=-2.582978   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
96   2018-06-18   02:50:56.4061742   纬度=31.47223   经度=103.602   强度=-34.2539   陡度=-2.923   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
