70   2018-06-02   00:18:10.1597031   纬度=21.70787   经度=113.6041   强度=-41.96507   陡度=-13.42882   误差=0   定位方式:5   省:   市:   县:
71   2018-06-02   00:18:32.6727622   纬度=22.64264   经度=113.072   强度=-21.65268   陡度=-7.698729   误差=0   定位方式:5   省:广东省   市:江门市   县:江门市市辖区
72   2018-06-02   00:18:43.7481388   纬度=21.4187   经度=118.8746   强度=-38.78999   陡度=-13.792   误差=0   定位方式:5   省:   市:   县:
73   2018-06-02   00:18:44.296477   纬度=21.72633   经度=113.5704   强度=-75.25349   陡度=-17.2008   误差=222.5295   定位方式:6   省:   市:   县:
74   2018-06-02   00:18:59.3199313   纬度=21.6176   经度=119.0215   强度=-48.83889   陡度=-17.86108   误差=0   定位方式:5   省:   市:   县:
75   2018-06-02   00:18:59.3680721   纬度=21.54718   经度=119.0313   强度=-45.36215   陡度=-27.64931   误差=0   定位方式:5   省:   市:   县:
76   2018-06-02   00:19:16.1104685   纬度=22.58231   经度=113.0004   强度=-83.50431   陡度=-26.72138   误差=75.72012   定位方式:6   省:广东省   市:江门市   县:新会市
77   2018-06-02   00:19:19.8178709   纬度=48.31543   经度=129.5467   强度=54.17338   陡度=9.370531   误差=66.81148   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
78   2018-06-02   00:19:23.5677462   纬度=27.50349   经度=103.4895   强度=-61.91237   陡度=-7.337762   误差=222.5295   定位方式:6   省:云南省   市:昭通地区   县:昭通市
79   2018-06-02   00:19:25.1597070   纬度=27.27821   经度=103.0768   强度=-48.9796   陡度=-8.707483   误差=74.43013   定位方式:6   省:云南省   市:昭通地区   县:巧家县
80   2018-06-02   00:19:26.5783860   纬度=21.38346   经度=121.3974   强度=-50.72026   陡度=-29.50997   误差=0   定位方式:5   省:   市:   县:
81   2018-06-02   00:19:28.2724208   纬度=21.78563   经度=113.5457   强度=-88.51788   陡度=-14.34214   误差=55.63231   定位方式:6   省:   市:   县:
82   2018-06-02   00:19:28.3793338   纬度=21.73043   经度=113.5752   强度=-36.73045   陡度=-13.82793   误差=0   定位方式:5   省:   市:   县:
83   2018-06-02   00:19:30.7648658   纬度=20.31978   经度=108.6193   强度=-30.47409   陡度=-15.60274   误差=0   定位方式:5   省:   市:   县:
84   2018-06-02   00:19:55.8793964   纬度=27.31024   经度=102.6861   强度=-25.32067   陡度=-5.58801   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
85   2018-06-02   00:19:55.9978634   纬度=27.33349   经度=102.563   强度=-21.08963   陡度=-4.217926   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
86   2018-06-02   00:19:56.992488   纬度=27.38287   经度=102.0238   强度=-43.93937   陡度=-4.686866   误差=74.39896   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
87   2018-06-02   00:20:05.7020216   纬度=21.74334   经度=113.6562   强度=-48.70092   陡度=-12.46744   误差=0   定位方式:5   省:   市:   县:
88   2018-06-02   00:20:21.4526056   纬度=21.71236   经度=113.6483   强度=-37.74924   陡度=-7.549849   误差=0   定位方式:5   省:   市:   县:
89   2018-06-02   00:20:23.1356044   纬度=47.89331   经度=128.8825   强度=32.7265   陡度=6.756439   误差=0   定位方式:2   省:黑龙江省   市:伊春市   县:伊春市市辖区
90   2018-06-02   00:20:23.1998757   纬度=48.21356   经度=129.4911   强度=27.99617   陡度=9.188487   误差=66.85226   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
91   2018-06-02   00:20:37.9623956   纬度=48.58578   经度=129.5315   强度=-34.19509   陡度=-16.83451   误差=0   定位方式:2   省:黑龙江省   市:伊春市   县:伊春市市辖区
